日期,場次,對手,打席,打數,得分,安打,全壘打,打點,四壞,故四,觸身,三振,犧觸,犧飛,雙殺,RE24,WPA,打擊率
10/24,204,悍,2,1,1,1,0,0,0,0,1,0,0,0,0,.9,.0,1.000
10/22,234,象,5,5,3,4,0,1,0,0,0,0,0,0,0,1.6,.1,0.800
10/21,220,象,6,6,1,3,0,2,0,0,0,0,0,0,0,1.8,.1,0.500
10/19,174,象,5,5,0,2,0,0,0,0,0,0,0,0,0,.1,.0,0.400
10/18,172,象,4,3,0,0,0,0,1,0,0,1,0,0,0,-0.2,-0.1,0.000
10/15,290,龍,4,4,2,2,0,0,0,0,0,0,0,0,0,.5,.0,0.500
10/12,284,龍,4,4,0,1,0,0,0,0,0,0,0,0,0,-0.2,.0,0.250
10/10,296,獅,5,4,2,1,1,1,1,0,0,1,0,0,0,.7,-0.0,0.250
10/09,294,悍,4,3,0,2,0,1,0,0,0,0,0,1,0,.5,-0.0,0.667
10/08,292,悍,4,3,1,0,0,0,1,0,0,2,0,0,1,-0.4,.0,0.000
10/06,288,龍,4,4,2,3,0,0,0,0,0,0,0,0,0,.8,.1,0.750
10/03,282,龍,4,4,0,0,0,0,0,0,0,3,0,0,0,-0.9,-0.0,0.000
10/01,280,獅,4,3,0,0,0,0,1,0,0,0,0,0,0,-0.7,-0.0,0.000
09/30,278,象,4,2,0,1,0,0,2,0,0,0,0,0,0,.3,.1,0.500
09/29,277,獅,4,4,0,1,0,0,0,0,0,0,0,0,0,-0.5,-0.1,0.250
09/28,275,獅,4,4,2,2,0,0,0,0,0,1,0,0,0,.1,-0.0,0.500
09/26,272,象,5,4,0,0,0,0,1,0,0,0,0,0,0,-0.2,-0.1,0.000
09/24,270,悍,4,4,0,3,0,1,0,0,0,1,0,0,0,.8,.1,0.750
09/22,266,悍,5,5,1,3,0,2,0,0,0,0,0,0,0,1.1,.2,0.600
09/20,262,獅,5,4,2,2,1,1,1,0,0,0,0,0,0,1.3,.1,0.500
09/19,260,獅,5,5,1,2,0,0,0,0,0,1,0,0,0,1.5,.0,0.400
09/17,257,象,4,4,1,1,0,1,0,0,0,1,0,0,1,-0.0,.1,0.250
09/16,255,象,4,4,0,1,0,0,0,0,0,0,0,0,0,.5,-0.0,0.250
09/15,253,象,5,4,0,2,0,0,1,1,0,0,0,0,0,-0.3,.0,0.500
09/14,251,龍,3,3,0,0,0,0,0,0,0,1,0,0,0,-0.8,-0.2,0.000
09/12,248,悍,5,5,0,0,0,0,0,0,0,1,0,0,0,-1.4,-0.3,0.000
09/11,238,龍,3,3,1,1,0,2,0,0,0,0,0,0,0,1.7,.1,0.333
09/10,246,悍,4,4,1,2,0,1,0,0,0,0,0,0,0,1.0,.1,0.500
09/08,242,龍,4,4,0,2,0,1,0,0,0,0,0,0,1,.3,-0.1,0.500
09/07,240,龍,4,4,2,2,0,0,0,0,0,1,0,0,0,.8,.2,0.500
09/05,236,象,4,4,1,1,0,0,0,0,0,0,0,0,0,.6,-0.0,0.250
09/02,232,悍,5,4,0,2,0,1,1,0,0,0,0,0,0,1.1,.0,0.500
08/31,227,獅,4,3,2,2,0,1,1,0,0,0,0,0,0,1.8,.2,0.667
08/30,225,龍,4,2,0,1,0,1,1,0,0,1,0,1,0,-0.0,-0.0,0.500
08/29,223,龍,4,4,1,2,0,0,0,0,0,0,0,0,0,.9,.0,0.500
